company,negative,neutral,positive,score,action
Adani Green,0.18181818181818182,0.0,0.8181818181818182,0.6363636363636365,Buy
Apollo Hospitals,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.6666666666666667,Buy
Ashok Leyland,0.0,0.0,1.0,1.0,Buy
Ashoka Buildcon,0.0,0.18181818181818182,0.8181818181818182,0.8181818181818182,Buy
Avenue Supermarts (DMart),0.5454545454545454,0.36363636363636365,0.09090909090909091,-0.4545454545454545,Sell
BHEL,0.4444444444444444,0.0,0.5555555555555556,0.11111111111111116,Hold
Bajaj Auto,0.2222222222222222,0.0,0.7777777777777778,0.5555555555555556,Buy
Bharat Forge,0.36363636363636365,0.0,0.6363636363636364,0.2727272727272727,Hold
Bikaji Foods,0.0,0.36363636363636365,0.6363636363636364,0.6363636363636364,Buy
Cipla,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.3636363636363636,Hold
Dabur India,0.3333333333333333,0.2,0.4666666666666667,0.13333333333333336,Hold
Delhivery,0.18181818181818182,0.0,0.8181818181818182,0.6363636363636365,Buy
Dilip Buildcon,0.0,0.18181818181818182,0.8181818181818182,0.8181818181818182,Buy
Divi’s Laboratories,0.1,0.0,0.9,0.8,Buy
Dr. Reddy’s Labs,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.09090909090909088,Hold
Eicher Motors,0.125,0.125,0.75,0.625,Buy
Godrej Consumer,0.5,0.0,0.5,0.0,Hold
HDFC,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.1111111111111111,Hold
Havells India,0.5454545454545454,0.0,0.45454545454545453,-0.09090909090909088,Sell
ICICI,0.0,0.0,1.0,1.0,Buy
IDFC First Bank,0.6,0.0,0.4,-0.19999999999999996,Sell
IRB Infrastructure,0.0,0.5454545454545454,0.45454545454545453,0.45454545454545453,Hold
IRCTC,0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091,Buy
ITC Ltd.,0.4,0.2,0.4,0.0,Hold
Infosys,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,Hold
JSW Steel,0.2,0.0,0.8,0.6000000000000001,Buy
Kotak Mahindra Bank,0.5,0.25,0.25,-0.25,Sell
Mahindra & Mahindra,0.3,0.0,0.7,0.39999999999999997,Hold
Marico,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.5454545454545454,Buy
Maruti Suzuki,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.5454545454545454,Buy
NTPC,0.25,0.375,0.375,0.125,Hold
Nazara Technologies,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.7272727272727273,Buy
Nestle India,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.14285714285714285,Hold
Nykaa,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.7272727272727273,Buy
ONGC,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,Hold
Oberoi Realty,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.18181818181818177,Hold
PNB Bank,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.5454545454545454,Buy
PNC Infratech,0.0,0.18181818181818182,0.8181818181818182,0.8181818181818182,Buy
Paytm (One97),0.6363636363636364,0.0,0.36363636363636365,-0.2727272727272727,Sell
SBI,0.2857142857142857,0.0,0.7142857142857143,0.4285714285714286,Hold
Siemens India,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,Hold
Sun Pharma,0.2,0.2,0.6,0.39999999999999997,Hold
TCS,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.42857142857142855,Hold
Tata Power,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.6363636363636364,Buy
Tata motors,0.4,0.3,0.3,-0.10000000000000003,Sell
Tech Mahindra,0.2857142857142857,0.0,0.7142857142857143,0.4285714285714286,Hold
Zomato,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.0,Hold
